project_id,option_id,total_pv_kwp,total_inverter_kw,total_battery_kwh
372a0edc8c34ee32,9a9af1ce659a74c3,0.0,0.0,5.0
37ab329cf0a733e1,33e775e87027dcc4,0.0,0.0,20.0
37e5a41e5c8056ac,d0df76e77e266cc8,0.0,0.0,10.0
38004c2e4beecdfb,b8481ef71dc2ecda,0.0,0.0,10.0
380933f71decfd2d,4fc99a7df1c2b71c,0.0,0.0,7.0
381b0f5eb5143a3f,aeff006e28254545,0.0,0.0,10.0
3860495cce95b4b9,710d3cb05899d84d,0.0,0.0,5.0
386e8798b6b65316,086fe17ed7ea4564,0.0,0.0,13.8
388534cabc9d9b59,d9ac5416c5fa5b8e,0.0,0.0,10.0
38df8cd6247972f5,1ad81d11286280c9,0.0,0.0,5.0
38f2a702f9ca6400,8b7d8f481e344fcc,0.0,0.0,7.0
39467abc19d76423,f85616acae871306,0.0,0.0,5.0
39d2c98bd7113f2d,16f22db92b704f54,0.0,0.0,15.0
3a48d74e4d239980,e6d439d3e75ce379,0.0,0.0,5.0
3ac113c31501e5a8,3b6d397d1a4b6755,0.0,0.0,10.0
3b2530254520e4d4,d60e2477259c6aff,0.0,0.0,10.0
3b98d406f7e5dd3f,4ff6a5cd8b82b877,0.0,0.0,10.0
3bc7d04f9aac4f84,f98c13a972ec2bf0,0.0,0.0,5.0
3bf6570ce006cda4,99cf85817939fda9,0.0,0.0,10.0
3c14a546e77a9e55,d503a1ef7570ce94,0.0,0.0,7.0
3c1ee725838740fb,ecec9c0f2038ecda,0.0,0.0,5.0
3c3ffe11abeb1fad,82e292f70057a372,0.0,0.0,7.0
3c547fdd7c986d4c,be1c8dcfacbac6b3,0.0,0.0,10.0
3c6997d7e4b68d4a,a39871d8be49b3b9,0.0,0.0,10.0
3cc084091413e7d0,4c91daac2b050a73,0.0,0.0,5.0
3d067cc482fc6afc,3b2f603e857556f4,0.0,0.0,7.0
3d18e6c0b4486266,b474eaf5af16aa1e,0.0,0.0,5.0
3da95ed701493e6b,7bb1a03a27020700,0.0,0.0,7.0
3e26b0d3a1594d00,625267928ee552bf,0.0,0.0,10.0
3ee543020059be49,60673f476b424b5a,0.0,0.0,5.0
3f1fc359c0c80382,79433361b9aa8b62,0.0,0.0,15.0
3f3120e7ffe8fada,3e45d8e05ee03aea,0.0,0.0,7.0
3f457bbee7747c1f,5a9adc7117a4c432,0.0,0.0,10.0
3f98baf7f191cdb9,fc4156afec846b27,0.0,0.0,10.0
3fc793c5ea062235,6e3370d6c523f497,0.0,0.0,10.0
3fcdc4dc465a185c,b5bf108af3011f90,0.0,0.0,7.0
3fe488745b04ea8b,625cf25003fabe2b,0.0,6.0,5.0
406e5aecde41c366,5f28d706c558ba3f,0.0,0.0,5.0
40e852a0e4eb8843,8ea89bda1cf2f38d,0.0,0.0,10.0
4140f62efc9c7ee3,47ef1c5692d7e0dc,0.0,0.0,10.0
4173b91c2b9ab2be,bc2c2c10d31eb315,0.0,0.0,10.0
4183db56f96f4c43,a98ca32b4d1ab440,0.0,0.0,7.0
41b2ab379845d133,7cbba87919333aaf,0.0,0.0,16.98
41f00cf5d52609cf,07513b408740df37,0.0,0.0,5.0
42260cb8dc1cfc1c,baad79cedb3accd2,0.0,0.0,7.0
42dbd23d4a787ba4,c85efc1fdd8c2788,0.0,0.0,10.0
43110718ef92c07f,3a2bce94d095014b,0.0,0.0,11.98
438826d0ecb6c5ea,b56ffe946c6362c4,0.0,0.0,10.0
4389710508e4d55d,996d29096057b45a,0.0,0.0,10.0
43925158b5d8e6fd,41830bb11bd97ea4,0.0,0.0,10.0
439682693bc07127,e76ed30188ebd2be,0.0,0.0,10.0
43f7783f017966f9,12e5b682bcb3ef59,0.0,0.0,10.0
442d43a219eec3f7,8ea7a9fa5d382747,0.0,0.0,14.0
44ac6a2c21307c62,f263d94af40f3705,0.0,0.0,20.0
45e9a1306914e617,a0d91b7df0f11b28,0.0,0.0,5.0
4607ba4fc4e6a035,c9d502075e84fe81,0.0,0.0,10.0
4711866ac49f7e53,cf8193a1fecff288,0.0,0.0,15.0
4733aeaf7fc51d77,86bb3277ee7c35a0,0.0,0.0,21.0
47c364605652acc0,9eacdae330861827,0.0,0.0,10.0
47d8eb439db923d0,b5c58c2b68a17a23,0.0,0.0,15.0
47fa87dce27b50ba,dd603ad8d1512bd9,0.0,0.0,10.0
482b0d77c88b5fd3,e2ba4b6e36552ee9,0.0,0.0,15.0
484a05b418c849e9,72bf0fd10cde4b31,0.0,0.0,5.0
48aa1f761822769f,151c2506e8a44b46,0.0,0.0,7.0
48ad51047a2520a6,5a25a40a9b78dc0f,0.0,0.0,10.0
48b755731e64509b,f8ce32c9f625ff79,0.0,0.0,14.0
48bf5f17f19988bd,837b93f337b61534,0.0,0.0,10.0
4911db5796f9857b,bad59702592c9a08,0.0,0.0,10.0
4955f6693eb2795e,f1080b89aac9b9b9,0.0,0.0,5.0
4958ce5ce31bc81b,e3c7a87f727d8c55,0.0,0.0,5.0
4a431b2bf772afd2,edb012ee9be38530,0.0,0.0,14.0
4a43246cbdd7434f,e0782cda86a15ef0,0.0,0.0,10.0
4a621b6d163355e1,1fd511d537af20fb,0.0,0.0,14.0
4a8125b5932f8c1a,6785af8712404dbc,0.0,0.0,5.0
4b1a1f488238a07a,d8292776c20069b1,0.0,0.0,15.0
4b357ffc20dc5b82,77d3897c6cd997e0,0.0,0.0,7.0
4b72ee909d81b59d,3b736ef03836c4fe,0.0,0.0,5.0
4bdbdab20af184ce,b4edd9345a559147,0.0,0.0,10.0
4be3a663144a8972,3a4da5ee2ae6ee97,0.0,0.0,10.0
4c035eb8f9705035,1a86e4321fc0da4e,0.0,0.0,10.0
4c1494d939ac7831,341b9af785fbabb7,0.0,0.0,5.0
4c163d59bebe48ba,6fdca4fede462ec3,0.0,0.0,10.0
4c7b2de291b26470,3ba9e9d1fc0cc8ce,0.0,0.0,5.0
4c8a173ff487c9db,7693475c366ae999,0.0,0.0,7.0
4c8cff8115143cd3,e880bff022a9edd9,0.0,0.0,14.0
4cf47c598e442bf3,e8b016d411abe50a,0.0,0.0,5.0
4d0a413c3989b49f,f122548d3f786b47,0.0,0.0,15.0
4d731564c5eaea03,4d27af1dbce09a55,0.0,0.0,15.0
4e411b63d40be311,ea32a40262688143,0.0,0.0,5.0
4e4151d050e6061d,16c1241216fd47c8,0.0,0.0,5.0
4e4f79e9b29fd201,4d6b61353a663ad6,0.0,0.0,5.0
4e65773c9b1b851e,3809e374793c9524,0.0,0.0,10.0
4e72a942ffffdf91,8a3768ed559d6203,0.0,0.0,10.0
4e8a15b1c3b6d3a6,71e6d4e4309219a1,0.0,0.0,5.0
4ef28ad1139ee511,4be2abad61edb4b7,0.0,0.0,5.0
4ff489774e416468,76fa024904c20996,0.0,0.0,7.0
501b834e1cb7737a,c8f686f917cbe6a1,0.0,0.0,10.0
506c7a8281bd6784,02646a1bf8382f26,0.0,0.0,10.0
50f6a5b16ee0698e,d7da9a747bb7037f,0.0,6.0,5.0
51df2fedc6193f3f,6579ecb5e2307763,0.0,0.0,5.0
5249e7bc214fa762,5f7ec78a46778e40,0.0,0.0,15.0
52636b8d20fd5c03,42836f5965bc1ddb,0.0,0.0,7.0
52ca7c58e7433b5f,4accbb3e38e0fa8b,0.0,0.0,10.0
52e53bb177e3923b,e214dc3b6dfb41bd,0.0,0.0,15.0
532debcc6e2ef53a,930c6d3875f9800f,0.0,0.0,10.0
532fb9b7ecf8ab4e,398163373da8e6fc,0.0,0.0,10.0
53aa4ead295c126c,fdefc4962eec957f,0.0,6.0,10.0
53f021d4a28aec67,aa6dd83082680e6d,0.0,0.0,7.0
54f84379d231df8b,94b5beccab7a21f3,0.0,0.0,5.0
55dc9ef68474e110,eb24196e9eb22fe7,0.0,0.0,5.0
55fca74f85179816,da63f9debc6ce9e8,0.0,0.0,10.0
564796eda2139a94,0c5dd40ac5006c9c,0.0,0.0,10.0
56932b77eead1a0b,a3134766f18e1e2c,0.0,0.0,5.0
5696828c6b8b3bd1,789e3042951145a8,0.0,0.0,7.0
56d05d4763d59f74,5fbdaa5cf330e208,0.0,0.0,5.0
56d682c25eea6d4c,f0b75e7a9243821f,0.0,0.0,10.0
572b75ac31ed2dd7,9cdaeda19e77ee19,0.0,0.0,5.0
57321c5394f14d2e,9a4416f24ef0cfb1,0.0,0.0,10.0
57785a43504a3fe5,54a521d8bf7becf6,0.0,0.0,15.0
57b489a5df352cf9,23f82f4cf58b522d,0.0,0.0,5.0
58019ec42d68638f,b0487d5b1d9027e2,0.0,0.0,5.0
581a3773797f1d8d,0241cf410402d17b,0.0,0.0,5.0
581d67d0620eaa34,706b4438afa355c7,0.0,0.0,10.0
5841e44e0d7d807c,3b9830585f5cf618,0.0,0.0,10.0
588c3209f53e5d58,e85ed9e6fd057438,0.0,0.0,5.0
58b92cfdeebeb57d,3d336c2e5db85dec,0.0,0.0,7.0
5903d2b1a2de36e2,28d2cc304741d7b8,0.0,0.0,10.0
597a69a5d9ce24ff,8f614e1f91f3d423,0.0,0.0,5.0
59965d57b6d75bf1,aa40914c2d509bdb,0.0,0.0,5.0
5a3304a27a5cb39a,231a09a6cd9ee207,0.0,0.0,14.0
5acb301e0a555447,498537a61c101bdb,0.0,0.0,7.0
